Category,Value,Clue,Answer
Text Chats #1,1,Lurhei Ohtani,Bryce
Text Chats #1,2,Lur remember when you thought urjeet was an indian snack,Aaron
Text Chats #1,3,lur realistically do u identify as indian,Aaron
Text Chats #1,4,will dick be provided for the homie lur,Aaron
Text Chats #1,100000,GINA IS FUCKING LAUGHING LOUDER THAN ME,Meeg
Text Chats #2,1,is gina in the trunk,Aaron
Text Chats #2,2,no way rold got a double double animal style before meeg,Bryce
Text Chats #2,3,i hate taiwanese people so i guess we’re pretty much even!,Meeg
Text Chats #2,4,meeg you’re the ceo of farts corporation,Bryce
Text Chats #2,100000,aaron meeg wants to know what schmegma is ,Meeg
Text Chats #3,1,Aaron u zesty bitch. Everyone is calling me schmeegma because of ur zesty wuhan ass AND I DONT EVEN KNOW what it means 😭,Meeg
Text Chats #3,2,But FUQ IM SO MAD I BASICALLY JUST WASTED MONEY TO YAK AND GO HOME 💀💀,Meeg
Text Chats #3,3,Naww ima blow these storms away with my monstrous farts 🥱🙄,Meeg
Text Chats #3,4,g i n e r u r always in the trunk !😀👋🤚,Caitlin
Text Chats #3,100000,Tiff ze schlongus R.N.,Meeg
Text Chats #4,1,meeg 🤝stevie wonder,Caitlin
Text Chats #4,2,Thot mother or absent father,Lur
Text Chats #4,3,Jaideep y do u have an all black wallpaper on ur phone like u a serial killer ,Lur
Text Chats #4,4,Fuq Louisville meetup let’s run it back to dith in June 🤩,Meeg
Text Chats #4,100000,we started me vs. 100 abg’s,Bryce
Text Chats #5,1,baby looks tremendously puntable  ,Bryce
Text Chats #5,2,So all of us probably have herpes,Aaron
Text Chats #5,3,optimus primus vs optimus globus,Giner
Text Chats #5,4,Malabooyah is probably racist,Aaron
Text Chats #5,100000,jaideep has to go to glow now for dj blasian,Bryce
Text Chats #6,1,IT STILL HARD,Lur
Text Chats #6,2,"if you ask me on a deeper level, it’s means jaideep, jaidoop, deep, jack daniels, globus globussy ",Bryce
Text Chats #6,3,Idk probably out there cracking a cold one with aaron and Jaideep’s dads,Meeg
Text Chats #6,4,why does jaideep look super deluxe brown,Rold
Text Chats #6,100000,"Can you find out the current prices of the below items: A frenchi, Shahs platter, Kevin’s deli hoagie, hems pitcher",Jaideep
Text Chats #7,1,illeniumeeg,Rold
Text Chats #7,2,We gaslit Kenny’s friend into thinking jaideep is super geyyyu,Lur
Text Chats #7,3,u would have pics of our toes giner,Caitlin
Text Chats #7,4,2 pc spicy chicken joy spaghetti combo w pineapple juice and a peach mango pie 🤤🤤🇵🇭🐒🫶,Caitlin
Text Chats #7,100000,i got a friend name rachel that kinda looks like lur,Bryce
Text Chats #8,1,everyone who saw me today acting like they saw a ghost💀,Caitlin
Text Chats #8,2,What’s crazy is aaron calling me a slut!,Lur
Text Chats #8,3,i’m down for mexico,Caitlin
Text Chats #8,4,Jaideep gonna be learning to swim at the same time as his kid,Lur
Text Chats #8,100000,I’m scared one of yall gonna punt my kid in the future,Lur
Spoken w o r d s,1,aaron i respect that. i have done the beastiality before,Rold
Spoken w o r d s,100000,my penis is erect for aaron’s toes,Rold
Spoken w o r d s,3,How’d I go from 6’3” to 5’3,Giner
Spoken w o r d s,4,Meeg have you ever had a chicken nugget before?” (Unironic),Giner
Spoken w o r d s,2,Meeg didn’t know she was allergy,Giner
Spoken w o r d s,1,you know what isn’t free at all hotel? The room.,Caitlin
Spoken w o r d s,3,what is irvine spectrum? Ferris wheel of toxic bitches,Aaron
